iso2,regex,description,unknown,glider,tow plane,helicopter,parachute,drop plane,hang-glider,para-glider,powered aircraft,jet aircraft,ufo,balloon,airship,uav,ground support,static object
"HU","HA\-\d{4}","glider, ultralights or motor glider",,1,2,,,,,,8,,,,,,,
"IL","4X\-[A-Z]{3}","generic",0,,,,,,,,,,,,,,,
"IT","I\-[A-Z]{4}","generic",0,,,,,,,,,,,,,,,
"LT","LY\-[A-Z]{3}","generic",0,,,,,,,,,,,,,,,
"LU","LX\-C[A-Z]{2}","glider or motor glider",,1,,,,,,,,,,,,,,
"LU","LX\-H[A-Z]{2}","helicopter",,,,3,,,,,,,,,,,,
"NL","PH\-[A-Z]{3}","generic",0,,,,,,,,,,,,,,,
"NL","PH\-\d{3,4}","glider",,1,,,,,,,,,,,,,,
"NL","PH\-\d[A-Z]\d","microlights",,1,2,,,,,,8,,,,,,,
"NO","LN\-[ABD-FH-NP-Z]{3}","generic",0,,,,,,,,,,,,,,,
"NO","LN\-G[A-Z]{2}","glider or motor glider",,1,,,,,,,,,,,,,,
"NO","LN\-O[A-Z]{2}","helicopter",,,,3,,,,,,,,,,,,
"NZ","ZK\-G[A-Z]{2}","glider",,1,,,,,,,,,,,,,,
"PL","SP\-0\d{3}","motor glider",,1,,,,,,,,,,,,,,
"PL","SP\-[1-38]\d{3}","glider",,1,,,,,,,,,,,,,,
"PL","SP\-B[A-Z]{2}","balloon",,,,,,,,,,,,11,,,,
"PL","SP\-S[A-Z]{3}","ultralights",,,2,,,,,,8,,,,,,,
"PL","SP\-X[A-Z]{3}","autogyros",,,,3,,,,,,,,,,,,
"RO","YR\-[1-9]\d{3}","glider",,1,,,,,,,,,,,,,,
"RS","YU\-\d{4}","glider",,1,,,,,,,,,,,,,,
"SE","SE\-[A-CE-GIK-M][A-Z]{2}","prop aircraft, general use",,,,,,,,,8,,,,,,,
"SE","SE\-[S-U][A-Z]{2}","motorglider / sustainer",,1,,,,,,,,,,,,,,
"SI","S5\-1\d{3}","oldtimer glider",,1,,,,,,,,,,,,,,
"SI","S5\-3\d{3}","single-seater glider",,1,,,,,,,,,,,,,,
"SI","S5\-7\d{3}","double-seater glider",,1,,,,,,,,,,,,,,
"SI","S5\-H[A-Z]{2}","helicopter",,,,3,,,,,,,,,,,,
"SI","S5\-K[A-Z]{2}","motorglider / sustainer",,1,,,,,,,,,,,,,,
"SI","S5\-O[A-Z]{2}","hot air balloon",,,,,,,,,,,,11,,,,
"SK","OM\-[A-Z]{3}","generic",0,,,,,,,,,,,,,,,
"SK","OM\-\d{4}","glider",,1,,,,,,,,,,,,,,
"SK","OM\-M\d{3}","microlights",,1,2,,,,,,8,,,,,,,
"US","N(\d{1,5}|\d{1,4}[A-Z]|\d{1,3}[A-Z]{2})","generic",0,,,,,,,,,,,,,,,
"ZA","ZS\-[A-Z]{3}","type certified aircraft",,1,,,,,,,,,,,,,,
"ZA","ZT\-R[A-Z]{2}","type certified rotorcraft",,,,3,,,,,,,,,,,,
"ZA","ZU\-[A-Z]{3}","non-type certified aircraft",,1,,,,,,,,,,,,,,
